motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M4802-1.02,0.015927106,0.015927106,0.16671602,0.19957948
M5244-1.02,-0.015566423,0.015566423,0.15871179,0.18259995
M4969-1.02,-0.015168282,0.015168282,0.073849946,0.09019542
M1471-1.02,0.015063718,0.015063718,0.15752216,0.17690529
M0319-1.02,-0.014539905,0.014539905,0.13427253,0.1568683
M1992-1.02,0.01452556,0.01452556,0.064149424,0.08397926
M1837-1.02,-0.014400439,0.014400439,0.07585556,0.11685241
M4895-1.02,-0.0143998545,0.0143998545,0.042049352,0.054701295
M5004-1.02,-0.014368304,0.014368304,0.028922433,0.03928171
M4996-1.02,-0.014279888,0.014279888,0.11409059,0.15077263
M4897-1.02,-0.014229962,0.014229962,0.051152565,0.05936952
M5196-1.02,-0.01397616,0.01397616,0.035995334,0.0447334
M1631-1.02,-0.013924842,0.013924842,0.07470386,0.08528741
M2263-1.02,0.013825423,0.013825423,0.035681065,0.046019573
M0967-1.02,-0.01376771,0.01376771,0.031141294,0.040206816
M4902-1.02,-0.013716239,0.013716239,0.12858588,0.15626323
M5182-1.02,-0.013704945,0.013704945,0.09312953,0.109043665
M4954-1.02,-0.013695433,0.013695433,0.1922195,0.2130842
M4771-1.02,-0.013301862,0.013301862,0.060056154,0.06337044
M1524-1.02,0.013258091,0.013258091,0.11243361,0.12828943
M5113-1.02,0.013222818,0.013222818,0.27876592,0.3195127
M4886-1.02,-0.013103985,0.013103985,0.05234313,0.08655823
M1890-1.02,-0.012899558,0.012899558,0.070512354,0.085136965
M5024-1.02,-0.012757164,0.012757164,0.027995167,0.0332293
M0737-1.02,0.012698718,0.012698718,0.06265728,0.08054572
M5660-1.02,-0.012507488,0.012507488,0.031855963,0.045672346
M5704-1.02,-0.012417901,0.012417901,0.034659054,0.042716864
M4873-1.02,-0.01241414,0.01241414,0.04778613,0.06740529
M4926-1.02,0.0121978335,0.0121978335,0.030504469,0.036397934
M6394-1.02,-0.011998444,0.011998444,0.027914435,0.049427964
M4885-1.02,-0.011979392,0.011979392,0.03536189,0.059486844
M5185-1.02,-0.011913219,0.011913219,0.09077412,0.10642105
M4840-1.02,0.011894738,0.011894738,0.052813727,0.067477554
M5151-1.02,0.011774677,0.011774677,0.059924334,0.06806767
M5189-1.02,-0.011709815,0.011709815,0.19603124,0.22821355
M1858-1.02,-0.01163963,0.01163963,0.046878412,0.051626936
M2247-1.02,-0.011529447,0.011529447,0.051970955,0.06013365
M4974-1.02,-0.011330797,0.011330797,0.05452706,0.06943895
M1098-1.02,-0.0112070525,0.0112070525,0.10790852,0.12429579
M0596-1.02,-0.011142584,0.011142584,0.026390655,0.036822
M4748-1.02,-0.0110693,0.0110693,0.036950372,0.049446456
M2327-1.02,-0.01097299,0.01097299,0.11043556,0.13388541
M5037-1.02,-0.010967536,0.010967536,0.04857498,0.05915688
M0736-1.02,0.010962947,0.010962947,0.06628431,0.0879408
M4857-1.02,-0.01085707,0.01085707,0.05903164,0.0714161
M4826-1.02,-0.010823156,0.010823156,0.09290563,0.102262266
M5148-1.02,0.010599357,0.010599357,0.054942984,0.07439408
M4947-1.02,0.01052934,0.01052934,0.049651876,0.05459333
M4824-1.02,0.010164085,0.010164085,0.044960488,0.054993156
M0817-1.02,-0.009949049,0.009949049,0.024463616,0.03556361
M4843-1.02,-0.0099221915,0.0099221915,0.034186278,0.038225528
M4808-1.02,-0.00989702,0.00989702,0.042354412,0.049182914
M4921-1.02,-0.009890185,0.009890185,0.14638866,0.15588939
M4788-1.02,-0.009856741,0.009856741,0.04030315,0.064539865
M5107-1.02,-0.0096790055,0.0096790055,0.106511675,0.14116378
M5101-1.02,0.009595713,0.009595713,0.03212298,0.04526083
M2249-1.02,0.009591877,0.009591877,0.031175727,0.05341741
