motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
CG11617  -  (M4809-1.02),0.0138041675,0.0138041675,0.026982129,0.056387004
bcd  -  (M2021-1.02),0.013784518,0.013784518,0.073891886,0.13929139
disco  -  (M4914-1.02),-0.013698351,0.013698351,0.058176033,0.104796916
gl  -  (M4985-1.02),0.013539758,0.013539758,0.039344985,0.055669382
CG31670  -  (M4840-1.02),-0.013519296,0.013519296,0.036689878,0.046646323
(CG9571)_(Mus_musculus)_(DBD_0.64)  -  (M0723-1.02),0.013486667,0.013486667,0.033392016,0.040561944
E2f  -  (M4672-1.02),0.013332316,0.013332316,0.03492324,0.040625036
(lz)_(Mus_musculus)_(DBD_0.71)  -  (M1837-1.02),0.013291723,0.013291723,0.06043609,0.076126926
BEAF-32  -  (M2325-1.02),0.01312493,0.01312493,0.06580758,0.08152117
(CG34367)_(Mus_musculus)_(DBD_0.96)  -  (M0967-1.02),0.013007838,0.013007838,0.072627135,0.08636653
CG5180  -  (M4869-1.02),0.012936065,0.012936065,0.08727534,0.11770924
cato  -  (M4794-1.02),-0.012692218,0.012692218,0.089140736,0.096107475
ftz  -  (M4977-1.02),0.012656385,0.012656385,0.04645072,0.061682902
tin  -  (M5241-1.02),-0.01241286,0.01241286,0.07004841,0.08653694
Hr46  -  (M1469-1.02),0.012066919,0.012066919,0.09813268,0.11797527
Her  -  (M5004-1.02),0.011979084,0.011979084,0.039085742,0.051109046
(prd)_(Homo_sapiens)_(DBD_0.77)  -  (M5704-1.02),0.011963737,0.011963737,0.08841483,0.10473303
ara  -  (M4743-1.02),-0.011907663,0.011907663,0.07546153,0.09522731
B-H1  -  (M1977-1.02),-0.011801092,0.011801092,0.028016847,0.04389063
CG11504  -  (M4808-1.02),0.011688187,0.011688187,0.11979247,0.14032105
Mes2  -  (M5103-1.02),0.011599231,0.011599231,0.05715006,0.07817687
Lag1  -  (M2002-1.02),0.011563363,0.011563363,0.22125183,0.27607638
odd  -  (M5121-1.02),0.011422028,0.011422028,0.050585862,0.06586171
ttk  -  (M2263-1.02),0.01141179,0.01141179,0.10937046,0.12552832
ems  -  (M1090-1.02),-0.011215543,0.011215543,0.028462527,0.042133592
dimm  -  (M4911-1.02),-0.011199363,0.011199363,0.050595853,0.06000761
