c parameter value	mean abs(top weights)	mean AUC ROC	std AUC ROC	mean Accuracy	std Accuracy	motif 1	motif 2	motif 3	motif 4	motif 5	motif 6	motif 7	motif 8	motif 9	motif 10	motif 11	motif 12	motif 13	motif 14	motif 15	motif 16	motif 17	motif 18	motif 19	motif 20
inf	7.433147292719772	0.7251624616534835	0.04223842608425675	0.7025	0.030516389039334266	CTCF	CG4328	CG4404	CG32830	peb	CG33557	lbe	Cf2	lola	net	Eip93F	Scr	klu	sd	Myb	h	(lz)_(Mus_musculus)_(DBD_0.71)	rib	dmrt99B	hth
100.0	5.592923645786958	0.7271225463798925	0.046473361401417265	0.7	0.034156502553198666	CTCF	CG4404	CG4328	CG32830	peb	CG33557	Cf2	lola	net	lbe	Eip93F	Myb	Scr	klu	sd	h	hth	dmrt99B	(lz)_(Mus_musculus)_(DBD_0.71)	SU(HW)
10.0	3.508883247942851	0.730177185425092	0.05020426102029938	0.7091666666666667	0.03445004434765732	CTCF	CG4404	CG32830	CG4328	Cf2	peb	CG33557	net	lola	Myb	lbe	SU(HW)	Eip93F	hth	Dref	sima	Scr	klu	sd	h
5.0	2.4843154855812006	0.7301351531713286	0.04826830589241871	0.7133333333333333	0.02843120351538664	CTCF	CG32830	CG4404	Cf2	CG4328	SU(HW)	Myb	peb	net	lola	lbe	hth	Dref	sima	CG33557	dmrt99B	Med	klu	sd	CG12605
2.0	1.5536126507525099	0.7228995884246754	0.046439915992098665	0.7083333333333334	0.028625940062196122	SU(HW)	CTCF	CG4404	Cf2	CG32830	Myb	CG4328	hth	Dref	sima	lbe	net	lola	peb	dmrt99B	Med	CG12605	(lz)_(Mus_musculus)_(DBD_0.71)	pad	vvl
1.0	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.5	0.67312357579437	0.7018711198537049	0.04859966934867627	0.6983333333333334	0.027588242262078077	SU(HW)	Cf2	CTCF	hth	CG4404	Myb	Dref	vvl	sima	dmrt99B	CG32830	Kr	CG4328	srp	vis	achi	peb	zen2	net	BEAF-32
0.1	0.2615156711584899	0.6767635644098707	0.046319597925731745	0.6841666666666668	0.01952562418976664	SU(HW)	Dref	hth	BEAF-32	Cf2	vvl	Kr	CG4404	Myb	achi	vis	CG11504	kni	CTCF	dmrt99B	peb	sima	srp	GATAe	odd
