c parameter value	mean abs(top weights)	mean AUC ROC	std AUC ROC	mean Accuracy	std Accuracy	motif 1	motif 2	motif 3	motif 4	motif 5	motif 6	motif 7	motif 8	motif 9	motif 10	motif 11	motif 12	motif 13	motif 14	motif 15	motif 16	motif 17	motif 18	motif 19	motif 20
inf	9.386315028176565	0.7635223404065832	0.05114881113274418	0.7083333333333333	0.04684489774185063	Med	Eip93F	CG8319	Mad	CG3838	hth	lola	sug	E(spl)	(CG7786)_(Homo_sapiens)_(DBD_0.56)	peb	CG11617	retn	Rx	knrl	Su(H)	Cf2	pad	caup	FBgn0261705
100.0	6.958657228743161	0.7675024272225687	0.05016063873048362	0.7149999999999999	0.04262237284181475	Med	Eip93F	CG8319	Mad	sug	CG3838	hth	lola	E(spl)	peb	CG11617	(CG7786)_(Homo_sapiens)_(DBD_0.56)	Su(H)	caup	Cf2	pad	Myb	SU(HW)	retn	knrl
10.0	3.33204770857024	0.7727365554981621	0.04442261086613874	0.7125000000000001	0.04397758267319586	Med	Eip93F	CG8319	Mad	sug	hth	peb	E(spl)	lola	CG3838	pad	SU(HW)	Cf2	(CG7786)_(Homo_sapiens)_(DBD_0.56)	CG11617	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	CG12768	knrl	caup	Su(H)
5.0	2.450412949250514	0.773630466803976	0.04154901279383656	0.7124999999999999	0.04491504326070622	Med	Eip93F	sug	SU(HW)	Mad	CG8319	hth	peb	E(spl)	lola	pad	Cf2	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	CG3838	caup	knrl	CG12768	CG11617	CG4404	Su(H)
2.0	1.353984455854412	0.7709380316011746	0.037413245786923906	0.7166666666666667	0.03496029493900503	Med	SU(HW)	sug	Eip93F	hth	Mad	peb	CG8319	pad	Cf2	dmrt99B	E(spl)	caup	knrl	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	lola	Su(H)	CG4404	Myb	CG12768
1.0	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.5	0.5988574663145709	0.7629895861187123	0.03219437807990069	0.7066666666666668	0.02682246156571847	SU(HW)	Med	Kr	hth	dmrt99B	sug	peb	knrl	pad	vfl	Cf2	brk	ttk	Mad	caup	crol	vis	achi	BEAF-32	Eip75B
0.1	0.28290503562668623	0.7535418297518247	0.031712776278301574	0.7033333333333334	0.019075871903765997	Kr	SU(HW)	ttk	BEAF-32	knrl	kni	Dref	crol	peb	hth	Eip75B	srp	Mef2	vis	achi	klu	dmrt99B	brk	Cf2	Blimp-1
