motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
(CG34367)_(Mus_musculus)_(DBD_0.96)  -  (M0967-1.02),0.0009451827804049195,0.0009451827804049195,0.007031958264514237,0.008330410591401178
ftz-f1  -  (M1470-1.02),0.0007823974705690577,0.0007823974705690577,0.0031309598121516138,0.004135381125176225
BEAF-32  -  (M2325-1.02),0.0006985604739941103,0.0006985604739941103,0.0037787678004788396,0.0044548096111700144
HGTX  -  (M5007-1.02),-0.0006439483277309177,0.0006439483277309177,0.0017601809874362888,0.001984730429624539
CG18599  -  (M1986-1.02),0.0006327055940721136,0.0006327055940721136,0.002106418516309707,0.0024309199891416632
CG7745  -  (M4879-1.02),0.0005812753870761585,0.0005812753870761585,0.0023486245927395693,0.002836201219580673
zen  -  (M5280-1.02),-0.0005811061561334277,0.0005811061561334277,0.0010481851064979852,0.0014391835146503793
FBgn0261930  -  (M2060-1.02),-0.0005329967430075932,0.0005329967430075932,0.0019178884487427912,0.0030570095731786238
Six4  -  (M2013-1.02),-0.0005093513333746534,0.0005093513333746534,0.00784297229284093,0.010481692882466892
Atf-2  -  (M4747-1.02),-0.0005015051559052692,0.0005015051559052692,0.0026316577670848686,0.0037902271115201904
phol  -  (M5152-1.02),0.0004772896214425266,0.0004772896214425266,0.0014545933667947815,0.0016947094587066113
ct  -  (M2027-1.02),-0.0004716857779408982,0.0004716857779408982,0.0019826082413216535,0.002845244923716036
Adf1  -  (M4728-1.02),-0.00044616915252924835,0.00044616915252924835,0.0017160893878319,0.0022845739293283745
vvl  -  (M2061-1.02),-0.00042550990555776573,0.00042550990555776573,0.004907652403742543,0.006608535115594905
vri  -  (M5272-1.02),0.0004171153405116698,0.0004171153405116698,0.0020811113211823733,0.002662097197651012
(Hr38)_(Homo_sapiens)_(DBD_0.90)  -  (M6394-1.02),0.0004131661150109187,0.0004131661150109187,0.001759958462641263,0.0023057093495470853
C15  -  (M4788-1.02),0.00041091449362140874,0.00041091449362140874,0.0021590968423159905,0.0026668081839850235
Mnt  -  (M5101-1.02),0.00040994086482677467,0.00040994086482677467,0.001204113098553844,0.0014301752876213123
crp  -  (M4899-1.02),0.00039613198639604496,0.00039613198639604496,0.003667311098649495,0.0046469149491642865
CG13424  -  (M4820-1.02),-0.0003961134900510847,0.0003961134900510847,0.003219357408923722,0.004206948290481517
kni  -  (M4677-1.02),0.00039518314360555346,0.00039518314360555346,0.001739265187101074,0.0020209249890344645
(CG9571)_(Mus_musculus)_(DBD_0.64)  -  (M0723-1.02),0.0003934394971902903,0.0003934394971902903,0.0015534058679616632,0.001938357989204821
lbl  -  (M2040-1.02),0.00037578276632762995,0.00037578276632762995,0.0030039532342896655,0.0036394533932057123
btn  -  (M2024-1.02),-0.00035626813184693335,0.00035626813184693335,0.001178022530271983,0.001531103070013016
Sp1  -  (M5209-1.02),0.00034778273631838624,0.00034778273631838624,0.0016359394483053027,0.0019883004978375096
so  -  (M1093-1.02),0.0003459754722805847,0.0003459754722805847,0.004644962215808178,0.005729146960261484
E2f  -  (M4672-1.02),0.00034523696669292613,0.00034523696669292613,0.0019166514333470725,0.0023482251252419538
eg  -  (M4934-1.02),-0.00034409675326430147,0.00034409675326430147,0.0022636623563181326,0.0031421295977147926
(fd96Ca)_(Mus_musculus)_(DBD_0.88)  -  (M0737-1.02),0.00033004852160093534,0.00033004852160093534,0.002710052655403121,0.0035789098166111467
twi  -  (M5256-1.02),-0.00032801676694273294,0.00032801676694273294,0.0011925711840569996,0.0015632788258000475
HLH54F  -  (M5018-1.02),0.00031866385577151014,0.00031866385577151014,0.0010856587955435622,0.0013497078431487098
sage  -  (M5177-1.02),0.00030751916120558157,0.00030751916120558157,0.0012534023929115987,0.001560541707463692
tin  -  (M5241-1.02),-0.000305729356297377,0.000305729356297377,0.001107432616066951,0.0017463255505507063
sim  -  (M5234-1.02),-0.00030150886316401794,0.00030150886316401794,0.00125619643938276,0.0016870291072097014
STAT92E  -  (M2327-1.02),0.00029770042179240246,0.00029770042179240246,0.0010314564548612806,0.0012710502969248637
ems  -  (M1090-1.02),0.00028887292184757584,0.00028887292184757584,0.0008166309766953128,0.0009895231117923293
knrl  -  (M5059-1.02),-0.00028795998052930723,0.00028795998052930723,0.004178713829542407,0.005973678490112275
dimm  -  (M4911-1.02),-0.000287078017251713,0.000287078017251713,0.0010693072056286426,0.0013881824261594274
br  -  (M4771-1.02),-0.0002837699227623099,0.0002837699227623099,0.0011084806601399356,0.0016953991651549767
ss  -  (M5217-1.02),0.0002772352841777388,0.0002772352841777388,0.0013516077990732608,0.0017006661815553515
sens-2  -  (M5186-1.02),-0.00027482233983125535,0.00027482233983125535,0.0014464541434880288,0.001844112986897309
HLHm5  -  (M5020-1.02),-0.0002673492663160518,0.0002673492663160518,0.0007321533862546968,0.001018130775251007
(CG7786)_(Homo_sapiens)_(DBD_0.56)  -  (M6186-1.02),-0.00026262433163674957,0.00026262433163674957,0.0008465214167510396,0.0010863580347561658
gcm2  -  (M0817-1.02),0.00025970826403651936,0.00025970826403651936,0.0005984306176751438,0.0007785175959531655
eve  -  (M1091-1.02),0.0002594974252547655,0.0002594974252547655,0.0013538472147040016,0.0015926041213305147
opa  -  (M2259-1.02),0.00025575796965456846,0.00025575796965456846,0.002726911553656572,0.004059457085780201
FBgn0262656  -  (M4918-1.02),0.00025237036132540273,0.00025237036132540273,0.0010437369933669887,0.0012963083737420743
btd  -  (M2247-1.02),0.0002518193921882089,0.0002518193921882089,0.002229157790438079,0.0027664057579152163
CG33557  -  (M4850-1.02),0.00025103220954449546,0.00025103220954449546,0.0007263012860538281,0.0009548136108319344
pan  -  (M5144-1.02),0.0002505680378754638,0.0002505680378754638,0.00493901127799057,0.00611814381260898
FBgn0261705  -  (M4889-1.02),0.0002500425304015696,0.0002500425304015696,0.0009222887736911652,0.0011305478980837547
jigr1  -  (M5047-1.02),-0.0002490598596530138,0.0002490598596530138,0.0010567740169574829,0.0013953182172910725
Hmx  -  (M5027-1.02),0.00024505475566564787,0.00024505475566564787,0.0020927535882388753,0.002673498998947438
CG6276  -  (M4873-1.02),-0.00024206556247246871,0.00024206556247246871,0.0008118364420205595,0.0010385756144407335
tup  -  (M5252-1.02),-0.0002396271752999019,0.0002396271752999019,0.0014389108874892373,0.001987751788754815
