motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
SU(HW)  -  (M2328-1.02),-0.0009173490675561148,0.0009173490675561148,0.009360389989916628,0.011534859146727215
fd64A  -  (M4964-1.02),-0.0009049133329277188,0.0009049133329277188,0.007999257618963102,0.009780140861567744
(grn)_(Homo_sapiens)_(DBD_0.93)  -  (M1869-1.02),-0.0007864610841422821,0.0007864610841422821,0.0034029510124436936,0.004736083464831259
Cf2  -  (M1849-1.02),-0.0005545128626012021,0.0005545128626012021,0.0036256993479483065,0.004994890591062806
GATAe  -  (M4983-1.02),-0.0005466425275794842,0.0005466425275794842,0.003020071291202007,0.004537652692977434
fkh  -  (M4673-1.02),-0.000538102800496143,0.000538102800496143,0.0036270985593134714,0.004611795270978369
knrl  -  (M5059-1.02),-0.0004753751903127206,0.0004753751903127206,0.016018908353184286,0.018093593126545262
slp1  -  (M0740-1.02),-0.00046733122614921234,0.00046733122614921234,0.003694947428011397,0.004561733033777193
HLHm5  -  (M5020-1.02),-0.00046226524992066983,0.00046226524992066983,0.0019774775166405685,0.002384388402304016
E(spl)  -  (M4949-1.02),-0.00043887549243267615,0.00043887549243267615,0.00120279444114628,0.0014299903561036465
(fd96Ca)_(Mus_musculus)_(DBD_0.88)  -  (M0737-1.02),-0.00041477088430861924,0.00041477088430861924,0.0067925004077973115,0.007970658271369831
Hand  -  (M4996-1.02),-0.0003935191073684712,0.0003935191073684712,0.0034562641743706973,0.0049710904528506294
pnr  -  (M4674-1.02),-0.00037882282695490057,0.00037882282695490057,0.0020505349723385527,0.003104440066067695
dimm  -  (M4911-1.02),0.00036990872776511993,0.00036990872776511993,0.002136051619186315,0.0025317416701002467
(dan)_(Bombyx_mori)_(DBD_0.85)  -  (M0580-1.02),0.00036817898395562904,0.00036817898395562904,0.00390889159343994,0.004925268099880662
crol  -  (M4898-1.02),0.000354535231117271,0.000354535231117271,0.0010347027544741676,0.0012504572348246423
Max  -  (M4919-1.02),0.00035036319152005103,0.00035036319152005103,0.0005880539286726941,0.0007587111092364124
(Tbp)_(Homo_sapiens)_(DBD_0.90)  -  (M4708-1.02),0.00034288480852438075,0.00034288480852438075,0.0025613929985781312,0.003346119492774802
srp  -  (M5213-1.02),0.0003346245390821515,0.0003346245390821515,0.0052419950874164145,0.006469609544327704
(A3-3)_(Mus_musculus)_(DBD_0.56)  -  (M0302-1.02),-0.0003300301515694173,0.0003300301515694173,0.005740921099638983,0.006762686724669928
(Nf-YA)_(Homo_sapiens)_(DBD_0.84)  -  (M1890-1.02),0.00031031668346734895,0.00031031668346734895,0.0007224691677057153,0.000920178609892631
(CG7786)_(Homo_sapiens)_(DBD_0.56)  -  (M6186-1.02),0.0003042352296167799,0.0003042352296167799,0.003142011140521521,0.003863421550638389
ci  -  (M4892-1.02),0.000291512455942484,0.000291512455942484,0.0007598341190222131,0.0010079563080031735
pho  -  (M5151-1.02),0.0002859176230206641,0.0002859176230206641,0.0010331298680730874,0.0013435699874624872
CG7368  -  (M4876-1.02),0.0002837299288445944,0.0002837299288445944,0.001016693899020363,0.001304220623718835
sob  -  (M5203-1.02),0.0002835394981531263,0.0002835394981531263,0.0007276676034930873,0.0009488113055988422
