id	name
M4880-1.02	CG7928
M4882-1.02	CG8281
M4883-1.02	CG8319
M4885-1.02	CG8765
M4886-1.02	CG9437
M4889-1.02	FBgn0261705
M4891-1.02	FBgn0262582
M4892-1.02	ci
M4893-1.02	Clk
M4894-1.02	cyc
M4895-1.02	crc
M4896-1.02	CG6272
M4897-1.02	CrebA
M4898-1.02	crol
M4899-1.02	crp
M4900-1.02	cwo
M4901-1.02	D19A
M4902-1.02	D19B
M4904-1.02	Deaf1
M4906-1.02	FBgn0263118
M4911-1.02	dimm
M4912-1.02	Dip3
M4913-1.02	disco-r
M4914-1.02	disco
M4918-1.02	FBgn0262656
M4919-1.02	Max
M4921-1.02	Doc2
M4922-1.02	dpn
M4923-1.02	Dr
M4924-1.02	Dref
M4926-1.02	dsf
M4927-1.02	dsx
M4929-1.02	tgo
M4930-1.02	dys
M4931-1.02	E5
M4933-1.02	EcR
M4934-1.02	eg
M4937-1.02	Eip75B
M4938-1.02	Eip78C
M4939-1.02	Eip93F
M4947-1.02	ERR
M4948-1.02	esg
M4949-1.02	E(spl)
M4951-1.02	Ets65A
M4952-1.02	Ets96B
M4953-1.02	Ets97D
M4954-1.02	Ets98B
M4962-1.02	exex
M4964-1.02	fd64A
M4966-1.02	Fer1
M4969-1.02	Fer2
M4971-1.02	Fer3
M4973-1.02	foxo
M4974-1.02	fru
M4977-1.02	ftz
M4982-1.02	GATAd
M4983-1.02	GATAe
M4985-1.02	gl
M4988-1.02	grh
M4996-1.02	Hand
M4997-1.02	hb
M5003-1.02	her
M5004-1.02	Her
M5006-1.02	Hey
M5007-1.02	HGTX
M5009-1.02	hkb
M5011-1.02	HLH4C
M5018-1.02	HLH54F
M5019-1.02	HLHm3
M5020-1.02	HLHm5
M5022-1.02	HLHm7
M5023-1.02	HLHmbeta
M5024-1.02	HLHmdelta
M5025-1.02	HLHmgamma
M5027-1.02	Hmx
M5029-1.02	h
M5030-1.02	Hnf4
M5034-1.02	Hr4
M5035-1.02	Hr51
M5036-1.02	Hr78
M5037-1.02	Hr83
M5039-1.02	Hsf
M5040-1.02	hth
M5043-1.02	ind
M5047-1.02	jigr1
M5048-1.02	jim
M5050-1.02	Jra
M5051-1.02	kay
M5052-1.02	ken
M5054-1.02	klu
M5059-1.02	knrl
M5060-1.02	Kr
M5064-1.02	l(1)sc
M5065-1.02	l(3)neo38
M5075-1.02	Lim1
M5079-1.02	lmd
M5081-1.02	lola
M5097-1.02	luna
M5099-1.02	Mad
M5101-1.02	Mnt
M5102-1.02	Med
M5103-1.02	Mes2
M5104-1.02	Met
M5107-1.02	Mio
M5108-1.02	bigmax
M5109-1.02	mirr
M5111-1.02	FBgn0263112
M5113-1.02	nau
M5116-1.02	net
M5119-1.02	oc
M5121-1.02	odd
M5128-1.02	Oli
M5137-1.02	otp
M5142-1.02	pad
M5144-1.02	pan
M5147-1.02	peb
M5148-1.02	pfk
M5149-1.02	PHDP
M5151-1.02	pho
M5152-1.02	phol
M5157-1.02	pnt
M5158-1.02	Poxm
M5159-1.02	Poxn
M5164-1.02	repo
M5167-1.02	rib
M5168-1.02	rn
M5172-1.02	run
M5173-1.02	Bgb
M5174-1.02	Rx
M5177-1.02	sage
M5179-1.02	sc
M5180-1.02	Scr
M5182-1.02	scrt
M5185-1.02	sd
M5186-1.02	sens-2
M5187-1.02	sens
M5189-1.02	shn
M5190-1.02	Side
M5194-1.02	slbo
M5196-1.02	slou
M5199-1.02	slp2
M5203-1.02	sob
M5207-1.02	Sox14
M5208-1.02	Sox15
M5209-1.02	Sp1
M5211-1.02	sqz
M5213-1.02	srp
M5215-1.02	sr
M5217-1.02	ss
M5219-1.02	sug
M5221-1.02	svp
M5222-1.02	sv
M5224-1.02	tai
M5227-1.02	tap
M5233-1.02	sima
M5234-1.02	sim
M5241-1.02	tin
M5244-1.02	tj
M5247-1.02	Trl
M5252-1.02	tup
M5256-1.02	twi
M5263-1.02	Usf
M5265-1.02	vfl
M5272-1.02	vri
M5273-1.02	wor
M5280-1.02	zen
M5283-1.02	z
M5348-1.02	(CG34340)_(Homo_sapiens)_(DBD_0.93)
M5660-1.02	(NfI)_(Homo_sapiens)_(DBD_0.80)
M5704-1.02	(prd)_(Homo_sapiens)_(DBD_0.77)
M6166-1.02	(CG6905)_(Homo_sapiens)_(DBD_0.97)
M6186-1.02	(CG7786)_(Homo_sapiens)_(DBD_0.56)
M6235-1.02	(croc)_(Homo_sapiens)_(DBD_0.92)
M6237-1.02	(fd59A)_(Homo_sapiens)_(DBD_0.89)
M6238-1.02	(CG11152)_(Homo_sapiens)_(DBD_0.50)
M6277-1.02	(Pdp1)_(Homo_sapiens)_(DBD_0.68)
M6374-1.02	(scro)_(Homo_sapiens)_(DBD_0.93)
M6394-1.02	(Hr38)_(Homo_sapiens)_(DBD_0.90)
M6410-1.02	(toy)_(Homo_sapiens)_(DBD_0.84)
M6459-1.02	(RunxA)_(Homo_sapiens)_(DBD_0.73)
M6501-1.02	(HLH3B)_(Homo_sapiens)_(DBD_0.81)
M6537-1.02	(yps)_(Homo_sapiens)_(DBD_0.82)
